School_id,DR_Number,Delivery_Date
134967,4095,2025-08-13
134969,4096,2025-08-13
134976,4097,2025-08-13
134977,4098,2025-08-13
134978,4099,2025-08-13
134980,4100,2025-08-13
134982,4101,2025-08-13
135006,4102,2025-08-13
135010,4103,2025-08-13
135017,4104,2025-08-13
135018,4105,2025-08-13
135019,4106,2025-08-13
135025,4107,2025-08-13
135064,4108,2025-08-13
135065,4109,2025-08-13
135144,4110,2025-08-13
135146,4111,2025-08-13
135167,4112,2025-08-13
135213,4113,2025-08-13
135223,4114,2025-08-13
318704,4115,2025-08-13
135257,4116,2025-08-13
135286,4117,2025-08-13
135307,4118,2025-08-13
137264,4119,2025-08-13
318809,4120,2025-08-13
502647,4121,2025-08-13
502648,4122,2025-08-13
502649,4123,2025-08-13
502650,4124,2025-08-13
502651,4125,2025-08-13
136380,4126,2025-08-13
136391,4127,2025-08-13
136392,4128,2025-08-13
136399,4129,2025-08-13
136410,4130,2025-08-13
136412,4131,2025-08-13
221502,4132,2025-08-13
221503,4133,2025-08-13
221504,4134,2025-08-13
221506,4135,2025-08-13
221507,4136,2025-08-13
305272,4137,2025-08-13
305276,4138,2025-08-13
135382,4139,2025-08-13
135383,5673,2025-08-13
135400,4140,2025-08-13
135470,4141,2025-08-13
135472,4142,2025-08-13
135487,4143,2025-08-13
135510,4144,2025-08-13
135511,4145,2025-08-13
135516,4146,2025-08-13
135519,4147,2025-08-13
135524,4148,2025-08-13
135557,4149,2025-08-13
135562,4150,2025-08-13
135573,4151,2025-08-13
135577,4152,2025-08-13
135584,4153,2025-08-13
135594,4154,2025-08-13
135597,4155,2025-08-13
135602,4156,2025-08-13
135616,4157,2025-08-13
135620,4158,2025-08-13
135636,4159,2025-08-13
135642,4160,2025-08-13
135645,4161,2025-08-13
135647,4162,2025-08-13
135648,4163,2025-08-13
135653,4164,2025-08-13
135660,4165,2025-08-13
135665,4166,2025-08-13
135669,4167,2025-08-13
135678,4168,2025-08-13
135679,4169,2025-08-13
135681,4170,2025-08-13
135688,4171,2025-08-13
135692,4172,2025-08-13
135703,4173,2025-08-13
135704,4174,2025-08-13
135713,4175,2025-08-13
135718,4176,2025-08-13
135731,4177,2025-08-13
135734,4178,2025-08-13
305129,4179,2025-08-13
318907,4180,2025-08-13
501759,4181,2025-08-13
502618,4182,2025-08-13
502619,4183,2025-08-13
502621,4184,2025-08-13
502622,4185,2025-08-13
502623,4186,2025-08-13
135740,4187,2025-08-13
135749,4188,2025-08-13
135758,4189,2025-08-13
135760,4190,2025-08-13
135762,4191,2025-08-13
135766,4192,2025-08-13
135772,4193,2025-08-13
135776,4194,2025-08-13
135780,4195,2025-08-13
135793,4196,2025-08-13
135804,4197,2025-08-13
135819,4198,2025-08-13
135829,4199,2025-08-13
135854,4200,2025-08-13
135862,4201,2025-08-13
135866,4202,2025-08-13
135873,4203,2025-08-13
135880,4204,2025-08-13
135898,4205,2025-08-13
135907,4206,2025-08-13
135915,4207,2025-08-13
135934,4208,2025-08-13
135947,4209,2025-08-13
135949,4210,2025-08-13
135954,4211,2025-08-13
135957,4212,2025-08-13
220001,4213,2025-08-13
220006,4214,2025-08-13
220013,4215,2025-08-13
220020,4216,2025-08-13
220022,4217,2025-08-13
135962,4218,2025-08-13
135989,4219,2025-08-13
135992,4220,2025-08-13
136018,4221,2025-08-13
136021,4222,2025-08-13
136028,4223,2025-08-13
136029,4224,2025-08-13
136030,4225,2025-08-13
136031,4226,2025-08-13
136033,4227,2025-08-13
136041,4228,2025-08-13
136045,4229,2025-08-13
136047,4230,2025-08-13
136050,4231,2025-08-13
136057,4232,2025-08-13
136061,4233,2025-08-13
136064,4234,2025-08-13
136066,4235,2025-08-13
136074,4236,2025-08-13
220528,4237,2025-08-13
502460,4238,2025-08-13
136200,4239,2025-08-13
136211,4240,2025-08-13
136226,4241,2025-08-13
136260,4242,2025-08-13
136273,4243,2025-08-13
136287,4244,2025-08-13
136289,4245,2025-08-13
136294,4246,2025-08-13
136302,4247,2025-08-13
136309,4248,2025-08-13
136312,4249,2025-08-13
136335,4250,2025-08-13
136351,4251,2025-08-13
136376,4252,2025-08-13
137252,4253,2025-08-13
221006,4254,2025-08-13
305245,4255,2025-08-13
305246,4256,2025-08-13
305247,4257,2025-08-13
305263,4258,2025-08-13
319201,4259,2025-08-13
136001,4260,2025-08-13
136003,4261,2025-08-13
136004,4262,2025-08-13
136011,4263,2025-08-13
136096,4264,2025-08-13
136155,4265,2025-08-13
136160,4266,2025-08-13
136164,4267,2025-08-13
136170,4268,2025-08-13
136174,4269,2025-08-13
136175,4270,2025-08-13
136183,4271,2025-08-13
220524,4272,2025-08-13
502483,4273,2025-08-13
131416,4274,2025-08-13
131421,4275,2025-08-13
131426,4276,2025-08-13
131432,4277,2025-08-13
131435,4278,2025-08-13
131441,4279,2025-08-13
131442,4280,2025-08-13
131448,4281,2025-08-13
131452,4282,2025-08-13
131454,4283,2025-08-13
131456,4284,2025-08-13
131457,4285,2025-08-13
131458,4286,2025-08-13
131460,4287,2025-08-13
131461,4288,2025-08-13
131462,4289,2025-08-13
131472,4290,2025-08-13
131473,4291,2025-08-13
131476,4292,2025-08-13
131477,4293,2025-08-13
131479,4294,2025-08-13
131484,4295,2025-08-13
131490,4296,2025-08-13
131491,4297,2025-08-13
131492,4298,2025-08-13
131494,4299,2025-08-13
131497,4300,2025-08-13
131499,4301,2025-08-13
131505,4302,2025-08-13
131506,4303,2025-08-13
131507,4304,2025-08-13
131510,4305,2025-08-13
131514,4306,2025-08-13
131530,4307,2025-08-13
131531,4308,2025-08-13
131532,4309,2025-08-13
131535,4310,2025-08-13
131536,4311,2025-08-13
131538,4312,2025-08-13
131539,4313,2025-08-13
131541,4314,2025-08-13
131545,4315,2025-08-13
131552,4316,2025-08-13
131554,4317,2025-08-13
131556,4318,2025-08-13
131558,4319,2025-08-13
131559,4320,2025-08-13
131560,4321,2025-08-13
131568,4322,2025-08-13
131569,4323,2025-08-13
131581,4324,2025-08-13
131582,4325,2025-08-13
131583,4326,2025-08-13
131590,4327,2025-08-13
131594,4328,2025-08-13
211503,4329,2025-08-13
211504,4330,2025-08-13
304680,4331,2025-08-13
131649,4332,2025-08-13
131653,4333,2025-08-13
131654,4334,2025-08-13
131655,4335,2025-08-13
131656,4336,2025-08-13
131658,4337,2025-08-13
131660,4338,2025-08-13
131661,4339,2025-08-13
131666,4340,2025-08-13
131670,4341,2025-08-13
131677,4342,2025-08-13
131678,4343,2025-08-13
131682,4344,2025-08-13
131686,4345,2025-08-13
131687,4346,2025-08-13
131693,4347,2025-08-13
131695,4348,2025-08-13
131699,4349,2025-08-13
131702,4350,2025-08-13
131709,4351,2025-08-13
131713,4352,2025-08-13
131715,4353,2025-08-13
131722,4354,2025-08-13
131724,4355,2025-08-13
131725,4356,2025-08-13
131732,4357,2025-08-13
131733,4358,2025-08-13
131740,4359,2025-08-13
131741,4360,2025-08-13
131743,4361,2025-08-13
131744,4362,2025-08-13
131746,4363,2025-08-13
131747,4364,2025-08-13
131749,4365,2025-08-13
131750,4366,2025-08-13
131753,4367,2025-08-13
131754,4368,2025-08-13
131757,4369,2025-08-13
131759,4370,2025-08-13
131760,4371,2025-08-13
131765,4372,2025-08-13
131767,4373,2025-08-13
131768,4374,2025-08-13
131769,4375,2025-08-13
131771,4376,2025-08-13
131776,4377,2025-08-13
131780,4378,2025-08-13
131781,4379,2025-08-13
131782,4380,2025-08-13
131786,4381,2025-08-13
131789,4382,2025-08-13
131790,4383,2025-08-13
131791,4384,2025-08-13
131792,4385,2025-08-13
131799,4386,2025-08-13
131801,4387,2025-08-13
131803,4388,2025-08-13
131806,4389,2025-08-13
131807,4390,2025-08-13
131810,4391,2025-08-13
131816,4392,2025-08-13
131817,4393,2025-08-13
131819,4394,2025-08-13
131820,4395,2025-08-13
131836,4396,2025-08-13
131837,4397,2025-08-13
131840,4398,2025-08-13
131841,4399,2025-08-13
131845,4400,2025-08-13
131849,4401,2025-08-13
131852,4402,2025-08-13
131856,4403,2025-08-13
131858,4404,2025-08-13
131868,4405,2025-08-13
131870,4406,2025-08-13
