1,"Balance, Toploading, Electronic",pc
2,"Balance, Triple Beam, with tare, 2610-gram",pc
3,Calorimeter,pc
4,Centrifuge,pc
5,Digital pocket thermometer,pc
6,Electrical Conductivity (Conductivity of Solutions) Apparatus,pc
7,"Filter Paper, crepe, 580mm x 580 mm sheet, Grade 0905",sheet
8,"Gloves, Hand, super nitrile",pair
9,"Graduated Cylinder, borosilicate, 10 mL",pc
10,"Graduated Cylinder, borosilicate, 100 mL",pc
11,"Graduated pipette with rubber pipettor, borosilicate, 10 mL",pc
12,Hydrometer for heavy liquids,pc
13,Hydrometer for light liquids,pc
14,Laboratory Hot Plate with magnetic stirrer,pc
15,"pH meter, hand-held, digital",pc
16,"Safety Goggles, polycarbonate",pair
17,"Thermometer, Laboratory type, Alcohol, -20⁰C to 110⁰C",pc
18,Universal pH indicator,pc
19,Water Quality Meter/Tester 5 in 1 (TDS/pH/EC/ salinity/ temperature),pc
20,"Anemometer with Wind Vane, Cup type",pc
21,Barometer-Thermometer-Humidity (3-in-1 Analog Instrument),pc
22,"Compass, Magnetic",pc
23,Dissecting Set with pan,set
24,"Gloves, Surgical",pair
25,"Hand Lens, 10x magnification",pc
26,"Hand Lens, 5x magnification",pc
27,"Microscope, Digital",pc
28,"Pipette, Beral, 1 mL",pc
29,Protein Synthesis Demonstration Set,set
30,Rain Gauge,pc
31,Reaction Plates with 6 Wells,pc
32,Sedimentator Tube,pc
33,"Soil pH, Moisture, Sunlight Meter",pc
34,Soil/Test Sieve,pc
35,"Tong, Beaker",pc
36,"Wash bottle, plastic, 250 mL",pc
37,"Globe, Celestial",pc
38,"Globe, Terrestrial",pc
39,"Model, Tectonics Demonstrator",kit
40,"Model, Volcano, cross section",pc
41,"Rock Samples, 24 pcs/set, (minerals of 3 rock types)",set
42,"Telescope, Astronomical (Reflecting)",pc
