school id,deliveries,Dr number,date
134967,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5108,2025-08-14
134969,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5113,2025-08-14
134976,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5130,2025-08-14
134977,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5139,2025-08-14
134978,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5181,2025-08-14
134980,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5197,2025-08-14
134982,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5205,2025-08-14
135006,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5206,2025-08-14
135010,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5211,2025-08-14
135017,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5215,2025-08-14
135018,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5219,2025-08-14
135019,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5228,2025-08-14
135025,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5232,2025-08-14
135064,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5243,2025-08-14
135065,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5244,2025-08-14
135144,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5248,2025-08-14
135146,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5252,2025-08-14
135167,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5258,2025-08-14
135213,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5262,2025-08-14
135223,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5266,2025-08-14
318704,C1 LOT 7 KS4 SHS CORE,5267,2025-08-14
135257,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5271,2025-08-14
135286,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5320,2025-08-14
135307,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5327,2025-08-14
137264,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5330,2025-08-14
318809,C1 LOT 7 KS4 SHS CORE,5332,2025-08-14
502647,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5333,2025-08-14
502648,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5334,2025-08-14
502649,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5335,2025-08-14
502650,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5336,2025-08-14
502651,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5341,2025-08-14
136380,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5352,2025-08-14
136391,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5357,2025-08-14
136392,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5360,2025-08-14
136399,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5364,2025-08-14
136410,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5365,2025-08-14
136412,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5366,2025-08-14
221502,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5367,2025-08-14
221503,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5368,2025-08-14
221504,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5369,2025-08-14
221506,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5370,2025-08-14
221507,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5371,2025-08-14
305272,C1 LOT 7 KS4 SHS CORE,5421,2025-08-14
305276,C1 LOT 7 KS4 SHS CORE & C1 LOT 7 KS4 SHS STEM,5438,2025-08-14
135382,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5448,2025-08-14
135383,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5472,2025-08-14
135400,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5482,2025-08-14
135470,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5488,2025-08-14
135472,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5492,2025-08-14
135487,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5497,2025-08-14
135510,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5499,2025-08-14
135511,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5502,2025-08-14
135516,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5506,2025-08-14
135519,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5508,2025-08-14
135524,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5514,2025-08-14
135557,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5516,2025-08-14
135562,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5521,2025-08-14
135573,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5525,2025-08-14
135577,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5527,2025-08-14
135584,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5530,2025-08-14
135594,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5536,2025-08-14
135597,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5537,2025-08-14
135602,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5538,2025-08-14
135616,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5539,2025-08-14
135620,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5540,2025-08-14
135636,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5541,2025-08-14
135642,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5542,2025-08-14
135645,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5543,2025-08-14
135647,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5544,2025-08-14
135648,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5545,2025-08-14
135653,"C1 LOT 7 KS1 G1-G3 & 
C1 LOT 7 KS2 G4-G6",5546,2025-08-14
